feature,importance,importance_pct,rank,cumulative_importance_pct
wins_diff,0.0602457429711836,6.02457429711836,1,6.02457429711836
slpm_diff,0.05370069595610831,5.370069595610831,2,11.39464389272919
td_def_diff,0.03671398232923828,3.671398232923828,3,15.066042125653018
sapm_diff,0.03209964353352952,3.2099643533529525,4,18.27600647900597
age_diff,0.031060828352100514,3.1060828352100516,5,21.382089314216024
str_acc_diff,0.030551911757539733,3.0551911757539734,6,24.437280489969996
str_def_diff,0.029913997926313097,2.99139979263131,7,27.428680282601306
losses_diff,0.02937953482979384,2.937953482979384,8,30.36663376558069
blue_Wins,0.027045230112007164,2.7045230112007164,9,33.07115677678141
red_Wins,0.026716831360118397,2.67168313601184,10,35.742839912793244
red_SLpM,0.024799445137288895,2.4799445137288894,11,38.22278442652213
blue_SLpM,0.024697803341266235,2.4697803341266233,12,40.69256476064876
blue_TD Acc.,0.024234509354296156,2.4234509354296154,13,43.11601569607837
td_avg_diff,0.02395028019309179,2.395028019309179,14,45.51104371538755
red_TD Acc.,0.023281383036575953,2.328138303657595,15,47.83918201904515
blue_TD Avg.,0.023091178460585397,2.3091178460585398,16,50.14829986510369
red_TD Avg.,0.02302097536387738,2.302097536387738,17,52.45039740149143
red_TD Def.,0.022049900564415147,2.2049900564415146,18,54.655387457932946
blue_TD Def.,0.021925210265761923,2.1925210265761925,19,56.84790848450914
td_acc_diff,0.021575154133470345,2.1575154133470344,20,59.005423897856176
blue_SApM,0.021364111188343936,2.1364111188343937,21,61.14183501669057
red_SApM,0.021133742592496993,2.1133742592496993,22,63.255209275940274
red_Losses,0.019637312919094183,1.9637312919094183,23,65.21894056784969
blue_Losses,0.01914175136620011,1.914175136620011,24,67.1331157044697
red_Str. Acc.,0.018566913567213923,1.8566913567213923,25,68.9898070611911
blue_Age,0.018405167899577,1.8405167899577,26,70.8303238511488
blue_Str. Acc.,0.01829802702762913,1.829802702762913,27,72.66012655391172
red_Age,0.018052512412126333,1.8052512412126334,28,74.46537779512435
sub_avg_diff,0.01689728818929941,1.6897288189299409,29,76.15510661405429
red_Str. Def,0.01675406040696275,1.675406040696275,30,77.83051265475056
blue_Str. Def,0.016295152822791637,1.6295152822791636,31,79.46002793702972
red_Sub. Avg.,0.015804101304033327,1.5804101304033327,32,81.04043806743306
blue_Sub. Avg.,0.015440317084148362,1.5440317084148363,33,82.5844697758479
reach_(in)_diff,0.012327497728745139,1.2327497728745138,34,83.8172195487224
red_Reach (in),0.011366941428700745,1.1366941428700745,35,84.95391369159248
blue_Reach (in),0.010950008236908703,1.0950008236908704,36,86.04891451528334
height_inches_diff,0.010064620719085484,1.0064620719085484,37,87.05537658719189
height_(inches)_diff,0.009948330567207357,0.9948330567207357,38,88.05020964391262
blue_Height (inches),0.008784911780797773,0.8784911780797773,39,88.92870082199241
red_Height_inches,0.00863438751989224,0.863438751989224,40,89.79213957398163
red_Height (inches),0.008620350634906078,0.8620350634906078,41,90.65417463747224
blue_Height_inches,0.008499289602754456,0.8499289602754456,42,91.50410359774769
Round,0.008489490767570936,0.8489490767570936,43,92.35305267450478
weight_(lbs)_diff,0.008306330108748537,0.8306330108748536,44,93.18368568537963
weight_lbs_diff,0.00826122441368466,0.826122441368466,45,94.0098081267481
red_Weight_lbs,0.007279399507468076,0.7279399507468076,46,94.7377480774949
blue_Weight_lbs,0.0072558782763345155,0.7255878276334515,47,95.46333590512835
red_Weight (lbs),0.007182196478212043,0.7182196478212043,48,96.18155555294955
blue_Weight (lbs),0.00717636110628325,0.717636110628325,49,96.89919166357787
draws_diff,0.005796365428826961,0.5796365428826962,50,97.47882820646056
stance_:orthodox_diff,0.0034609581834827577,0.3460958183482758,51,97.82492402480884
red_Draws,0.0031234042358835577,0.3123404235883558,52,98.13726444839719
stance_:southpaw_diff,0.0031219060296571143,0.31219060296571144,53,98.4494550513629
blue_Draws,0.003116539137182731,0.3116539137182731,54,98.76110896508118
red_STANCE_:Southpaw,0.0017776466228668984,0.17776466228668983,55,98.93887362736787
blue_STANCE_:Southpaw,0.0017391450015968556,0.17391450015968557,56,99.11278812752755
blue_STANCE_:Orthodox,0.0017248146985347121,0.1724814698534712,57,99.28526959738102
red_STANCE_:Orthodox,0.0016970657730884125,0.16970657730884126,58,99.45497617468986
stance_:switch_diff,0.001527337622678065,0.1527337622678065,59,99.60770993695766
stance_unknown_diff,0.0011599747096874378,0.11599747096874377,60,99.72370740792641
blue_STANCE_:Switch,0.0007721654855814343,0.07721654855814343,61,99.80092395648455
red_STANCE_:Switch,0.0007697399964465815,0.07697399964465815,62,99.87789795612922
blue_STANCE_Unknown,0.0006041694932825433,0.06041694932825433,63,99.93831490545747
red_STANCE_Unknown,0.000494035962658396,0.0494035962658396,64,99.98771850172331
stance_:open_stance_diff,6.0548940897189876e-05,0.006054894089718987,65,99.99377339581302
red_STANCE_:Open Stance,3.269855043973377e-05,0.003269855043973377,66,99.99704325085699
blue_STANCE_:Open Stance,2.614043806927876e-05,0.002614043806927876,67,99.99965729466392
blue_STANCE_:Sideways,1.3867829839906925e-06,0.00013867829839906925,68,99.99979597296232
stance_:sideways_diff,1.2614143536877437e-06,0.00012614143536877437,69,99.99992211439769
red_STANCE_:Sideways,7.7885602293301e-07,7.7885602293301e-05,70,99.99999999999999
