fighter,opponent,date,reason
Joe Cason,Ovince Saint Preux,2022-07-17 20:11:00,No name match above threshold
Donald Cerrone,KJ Noons,2025-05-02 20:13:00,No name match above threshold
Edgar Chairez,Daniel Lacerda,2024-02-02 20:24:00,No name match above threshold
Mark Cherico,Mike Santiago,2022-08-07 20:17:00,No name match above threshold
Mu Bae Choi,Yoshihisa Yamamoto,2023-05-03 20:04:00,No name match above threshold
SeungGuk Choi,Qiu Lun,2023-10-05 20:22:00,No name match above threshold
DongHun Choi,Angad Bisht,2023-08-06 20:24:00,No name match above threshold
Ryo Chonan,Andrews Nakahara,2022-03-13 20:10:00,No name match above threshold
Ryo Chonan,Antonio Schembri,2022-05-07 20:05:00,No name match above threshold
Ryo Chonan,Ricardo Almeida,2023-05-03 20:04:00,No name match above threshold
Kevin Christian,Francesco Mazzeo,2024-09-07 20:24:00,No name match above threshold
Dominic Clark,David Douglas,2022-10-11 20:10:00,No name match above threshold
Devin Cole,Shawn Jordan,2022-07-17 20:11:00,No name match above threshold
Rose Conceicao,Alexia Thainara,2024-09-07 20:24:00,No name match above threshold
Tristan Connelly,Pat Sabatini,2024-04-02 20:21:00,No name match above threshold
TJ Cook,Lionel Lanham,2022-07-17 20:11:00,No name match above threshold
Bill Cooper,Maka Watson,2022-07-17 20:11:00,No name match above threshold
Patrick Cote,Tito Ortiz,2022-10-04 20:04:00,No name match above threshold
Patrick Cote,Bill Mahood,2022-05-16 20:04:00,No name match above threshold
Rashad Coulter,Hu Yaozong,2024-11-02 20:18:00,No name match above threshold
Ryan Couture,Maka Watson,2023-09-19 20:11:00,No name match above threshold
Ryan Couture,Matt Ricehouse,2024-06-16 20:11:00,No name match above threshold
Jimmy Crute,Anthony Smith,2024-04-02 20:21:00,No name match above threshold
Jimmy Crute,Chris Birchler,2024-07-06 20:18:00,No name match above threshold
Abel Cullum,Masakazu Imanari,2024-09-17 20:11:00,No name match above threshold
Alton Cunningham,Tony Johnson,2025-06-02 20:19:00,No name match above threshold
Jeff Curran,Todd Lally,2023-11-03 20:02:00,No name match above threshold
Deni Daffa,Ren Yawei,2023-05-04 20:25:00,No name match above threshold
Paul Daley,Sammy Morgan,2025-01-04 20:08:00,No name match above threshold
Rodrigo Damm,Anistavio Medeiros,2023-06-02 20:12:00,No name match above threshold
Batgerel Danaa,Kevin Natividad,2024-04-02 20:21:00,No name match above threshold
Peter Danesoe,Sulangrangbo,2023-05-04 20:25:00,No name match above threshold
Kyle Daukaus,Michael Lombardo,2025-06-02 20:19:00,No name match above threshold
Danny Davis,Quinn Mulhern,2023-09-19 20:11:00,No name match above threshold
Mike Davis,Sodiq Yusuff,2024-07-06 20:18:00,No name match above threshold
Martin Day,Pingyuan Liu,2024-11-02 20:18:00,No name match above threshold
