fighter,opponent,date,reason
Kazuki Okubo,Daijiro Matsui,2023-12-03 20:02:00,No name match above threshold
Alex Oliveira,Randy Brown,2024-04-02 20:21:00,No name match above threshold
Shana Olsen,Julia Budd,2022-10-11 20:10:00,No name match above threshold
Michihiro Omigawa,Aaron Riley,2022-05-07 20:05:00,No name match above threshold
Myktybek Orolbai,Tofiq Musayev,2025-06-21 00:00:00,No name match above threshold
Brian Ortega,Yair Rodriguez,2024-02-02 20:24:00,No name match above threshold
Tito Ortiz,Patrick Cote,2022-10-04 20:04:00,No name match above threshold
Alexander Otsuka,Yoshihisa Yamamoto,2023-12-03 20:02:00,No name match above threshold
Alexander Otsuka,Wanderlei Silva,2023-12-02 20:01:00,No name match above threshold
Takafumi Otsuka,Bibiano Fernandes,2024-09-17 20:11:00,No name match above threshold
Alistair Overeem,Bazigit Atajev,2023-12-03 20:02:00,No name match above threshold
Valentijn Overeem,Ron Waterman,2023-12-03 20:02:00,No name match above threshold
Valentijn Overeem,Igor Vovchanchyn,2023-12-02 20:01:00,No name match above threshold
Luis Pajuelo,Robbie Ring,2022-08-03 20:23:00,No name match above threshold
Eduardo Pamplona,Jerron Peoples,2024-06-16 20:11:00,No name match above threshold
Ruel Panales,Kiru Sahota,2023-08-06 20:24:00,No name match above threshold
JunYong Park,Ismail Naurdiev,2025-06-21 00:00:00,No name match above threshold
HyunSung Park,Top Noi Kiwram,2023-10-06 20:22:00,No name match above threshold
JaeHyun Park,Jack Becker,2023-05-04 20:25:00,No name match above threshold
EoJin Park,Keiichiro Nakamura,2022-05-02 20:25:00,No name match above threshold
Norman Parke,Leonardo Santos,2023-03-02 20:14:00,No name match above threshold
Mick Parkin,Eduardo Neves,2023-08-05 20:22:00,No name match above threshold
Jhonoven Pati,Jamie Pickett,2025-08-04 20:20:00,No name match above threshold
Jorge Patino,Kazuo Misaki,2023-05-03 20:04:00,No name match above threshold
Raquel Pennington,Julianna Pena,2024-10-05 00:00:00,No name match above threshold
Tecia Pennington,Carla Esparza,2024-10-05 00:00:00,No name match above threshold
Jerron Peoples,Eduardo Pamplona,2024-06-16 20:11:00,No name match above threshold
Godofredo Pepey,Noad Lahat,2023-03-02 20:14:00,No name match above threshold
Godofredo Pepey,Rony Jason,2023-06-02 20:12:00,No name match above threshold
Thiago Perpetuo,Kenny Robertson,2023-03-02 20:14:00,No name match above threshold
Thiago Perpetuo,Leonardo Mafra,2023-06-02 20:12:00,No name match above threshold
Steven Peterson,Benito Lopez,2022-08-07 20:17:00,No name match above threshold
John Phillips,Kevin Holland,2024-11-02 20:18:00,No name match above threshold
Jamie Pickett,Jhonoven Pati,2025-08-04 20:20:00,No name match above threshold
Jonathan Piersma,Samandar Murodov,2023-08-06 20:24:00,No name match above threshold
Pingyuan Liu,Martin Day,2024-11-02 20:18:00,No name match above threshold
Alexander Poppeck,Jamahal Hill,2023-07-05 20:19:00,No name match above threshold
Felipe Portela,Brian Melancon,2023-09-19 20:11:00,No name match above threshold
Ihor Potieria,Cesar Almeida,2024-10-05 00:00:00,No name match above threshold
Francisco Prado,Daniel Zellhuber,2024-02-02 20:24:00,No name match above threshold
Michel Prazeres,Mairbek Taisumov,2023-03-02 20:14:00,No name match above threshold
Claudio Puelles,Fares Ziam,2024-02-02 20:24:00,No name match above threshold
Jens Pulver,Tomomi Iwama,2022-05-07 20:05:00,No name match above threshold
Mike Pyle,Rick Story,2025-05-02 20:13:00,No name match above threshold
Qiu Lun,SeungGuk Choi,2023-10-05 20:22:00,No name match above threshold
Billy Quarantillo,Kamuela Kirk,2023-07-05 20:19:00,No name match above threshold
Cristian Quinonez,Raoni Barcelos,2024-02-02 20:24:00,No name match above threshold
Kevin Randleman,Murilo Rua,2023-12-03 20:02:00,No name match above threshold
Kevin Randleman,Kenichi Yamamoto,2024-11-02 20:02:00,No name match above threshold
Raou Raou,Bertrand Amoussou,2023-05-03 20:04:00,No name match above threshold
Joe Ray,Chris Spang,2023-09-19 20:11:00,No name match above threshold
Zachary Reese,Eli Aronov,2022-08-03 20:23:00,No name match above threshold
Ren Yawei,Deni Daffa,2023-05-04 20:25:00,No name match above threshold
Victor Reyna,Miguel Baeza,2025-06-02 20:19:00,No name match above threshold
Vitor Ribeiro,Eddie Yagin,2023-11-03 20:02:00,No name match above threshold
Matt Ricehouse,Ryan Couture,2024-06-16 20:11:00,No name match above threshold
Aaron Riley,Michihiro Omigawa,2022-05-07 20:05:00,No name match above threshold
Robbie Ring,Luis Pajuelo,2022-08-03 20:23:00,No name match above threshold
Jorge Rivera,Rich Franklin,2022-10-04 20:04:00,No name match above threshold
Karl Roberson,Brendan Allen,2024-04-02 20:21:00,No name match above threshold
Karl Roberson,Ryan Spann,2025-07-03 20:17:00,No name match above threshold
Kenny Robertson,Thiago Perpetuo,2023-03-02 20:14:00,No name match above threshold
Yair Rodriguez,Brian Ortega,2024-02-02 20:24:00,No name match above threshold
Marina Rodriguez,Iasmin Lucindo,2024-10-05 00:00:00,No name match above threshold
Ronaldo Rodriguez,Denys Bondar,2024-02-02 20:24:00,No name match above threshold
Anthony Romero,Mike Breeden,2025-08-04 20:20:00,No name match above threshold
Rongzhu,Kazula Vargas,2024-04-02 20:21:00,No name match above threshold
George Roop,Brian Bowles,2025-05-02 20:13:00,No name match above threshold
George Roop,Mark Hominick,2022-01-02 20:11:00,No odds in date range
Nick Rossborough,Lorenz Larkin,2023-09-19 20:11:00,No name match above threshold
Khalil Rountree Jr.,Jamahal Hill,2025-06-21 00:00:00,No name match above threshold
Khalil Rountree Jr.,Alex Pereira,2024-10-05 00:00:00,No name match above threshold
Brandon Royval,Brandon Moreno,2024-02-02 20:24:00,No name match above threshold
Mauricio Rua,Dan Henderson,2023-03-02 20:14:00,No name match above threshold
Murilo Rua,Kevin Randleman,2023-12-03 20:02:00,No name match above threshold
Murilo Rua,Ricardo Arona,2024-11-02 20:02:00,No name match above threshold
Murilo Rua,Alex Andrade,2023-12-02 20:01:00,No name match above threshold
Mike Russow,Fabricio Werdum,2023-06-02 20:12:00,No name match above threshold
Yusup Saadulaev,Rodolfo Marques Diniz,2024-09-17 20:11:00,No name match above threshold
Cameron Saaiman,Joshua Wang-Kim,2023-08-05 20:22:00,No name match above threshold
Pat Sabatini,Tristan Connelly,2024-04-02 20:21:00,No name match above threshold
Nazim Sadykhov,Nikolas Motta,2025-06-21 00:00:00,No name match above threshold
Kiru Sahota,Ruel Panales,2023-08-06 20:24:00,No name match above threshold
Mridul Saikia,Agulali,2022-05-02 20:25:00,No name match above threshold
Ovince Saint Preux,Joe Cason,2022-07-17 20:11:00,No name match above threshold
Kazushi Sakuraba,Yan Cabral,2024-09-17 20:11:00,No name match above threshold
Kazushi Sakuraba,Gilles Arsene,2024-11-02 20:02:00,No name match above threshold
Hayato Sakurai,Milton Vieira,2022-05-07 20:05:00,No name match above threshold
Ivan Salaverry,Tony Fryklund,2022-10-04 20:04:00,No name match above threshold
Joby Sanchez,JP Buys,2022-08-07 20:17:00,No name match above threshold
Mike Santiago,Mark Cherico,2022-08-07 20:17:00,No name match above threshold
Richie Santiago,Miles Johns,2025-06-02 20:19:00,No name match above threshold
Leonardo Santos,Norman Parke,2023-03-02 20:14:00,No name match above threshold
Thiago Santos,Ronny Markes,2023-03-02 20:14:00,No name match above threshold
Jeka Saragih,WonBin Ki,2023-10-05 20:22:00,No name match above threshold
Yuki Sasaki,Rodrigo Gracie,2023-12-03 20:02:00,No name match above threshold
Keisuke Sasu,Balajin,2023-10-05 20:22:00,No name match above threshold
Shogo Sato,Kitt Campbell,2023-05-04 20:25:00,No name match above threshold
Chad W. Saunders,Jason Black,2023-11-03 20:02:00,No name match above threshold
Antonio Schembri,Ryo Chonan,2022-05-07 20:05:00,No name match above threshold
Semmy Schilt,Antonio Rodrigo Nogueira,2024-11-02 20:02:00,No name match above threshold
Semmy Schilt,Yoshihiro Takayama,2023-12-02 20:01:00,No name match above threshold
Bailey Schoenfelder,Danylo Voievodkin,2024-09-07 20:24:00,No name match above threshold
Stefan Sekulic,Dwight Grant,2024-04-02 20:21:00,No name match above threshold
DongHyun Seo,Kaiwen,2022-05-02 20:25:00,No name match above threshold
Kim In Seok,Tatsuya Kawajiri,2022-05-07 20:05:00,No name match above threshold
Valentina Shevchenko,Jessica Andrade,2024-04-02 20:21:00,No name match above threshold
Shi Ming,Dong Huaxiang,2023-08-06 20:24:00,No name match above threshold
Akira Shoji,Tsuyoshi Tamakairiki,2023-05-03 20:04:00,No name match above threshold
Akira Shoji,Jeremy Horn,2023-12-02 20:01:00,No name match above threshold
Steven Siler,Rony Jason,2023-03-02 20:14:00,No name match above threshold
Siala Siliga,Josh Barnett,2022-03-13 20:10:00,No name match above threshold
Wanderlei Silva,Rich Franklin,2023-06-02 20:12:00,No name match above threshold
Wanderlei Silva,Hiromitsu Kanehara,2024-11-02 20:02:00,No name match above threshold
Wanderlei Silva,Alexander Otsuka,2023-12-02 20:01:00,No name match above threshold
Antonio Silva,Cain Velasquez,2025-05-02 20:13:00,No name match above threshold
Jacob Silva,Jeff Molina,2025-08-04 20:20:00,No name match above threshold
Erik Silva,Muhammad Naimov,2024-02-02 20:24:00,No name match above threshold
Sim Kai Xiong,Kuya Ito,2023-05-04 20:25:00,No name match above threshold
Gian Siqueira,Samandar Murodov,2023-10-06 20:22:00,No name match above threshold
Trevor Smith,Keith Berry,2024-06-16 20:11:00,No name match above threshold
Anthony Smith,Jimmy Crute,2024-04-02 20:21:00,No name match above threshold
Anthony Smith,Ben Lagman,2022-07-17 20:11:00,No name match above threshold
Colton Smith,Robert Whittaker,2025-05-02 20:13:00,No name match above threshold
Louis Smolka,Sumudaerji,2024-11-02 20:18:00,No name match above threshold
Song Kenan,Alex Morono,2024-11-02 20:18:00,No name match above threshold
Song Yadong,Vince Morales,2024-11-02 20:18:00,No name match above threshold
Charon Spain,King Green,2023-09-19 20:11:00,No name match above threshold
Chris Spang,Joe Ray,2023-09-19 20:11:00,No name match above threshold
Ryan Spann,Ovince Saint Preux,2024-10-05 00:00:00,No name match above threshold
Ryan Spann,Karl Roberson,2025-07-03 20:17:00,No name match above threshold
Waachiim Spiritwolf,Billy Evangelista,2022-10-11 20:10:00,No name match above threshold
Georges St-Pierre,Matt Hughes,2022-10-04 20:04:00,No name match above threshold
Georges St-Pierre,Thomas Denny,2025-01-12 20:03:00,No name match above threshold
Georges St-Pierre,Ivan Menjivar,2025-01-07 20:02:00,No name match above threshold
Ron Stallings,Adlan Amagov,2022-07-17 20:11:00,No name match above threshold
Kyle Stewart,Jason Jackson,2025-07-03 20:17:00,No name match above threshold
Alex Stiebling,Marvin Eastman,2023-11-03 20:02:00,No name match above threshold
Alex Stiebling,Allan Goes,2023-12-02 20:01:00,No name match above threshold
Rick Story,Mike Pyle,2025-05-02 20:13:00,No name match above threshold
Hans Stringer,Francimar Barroso,2023-03-02 20:14:00,No name match above threshold
Sulangrangbo,Peter Danesoe,2023-05-04 20:25:00,No name match above threshold
Sumudaerji,Louis Smolka,2024-11-02 20:18:00,No name match above threshold
Klaudia Sygula,Irina Alekseeva,2025-06-21 00:00:00,No name match above threshold
Sebastian Szalay,Baergeng Jieleyisi,2022-05-02 20:25:00,No name match above threshold
Mairbek Taisumov,Michel Prazeres,2023-03-02 20:14:00,No name match above threshold
Nobuhiko Takada,Kiyoshi Tamura,2024-11-02 20:02:00,No name match above threshold
Daiju Takase,Carlos Newton,2023-05-03 20:04:00,No name match above threshold
Yoshihiro Takayama,Semmy Schilt,2023-12-02 20:01:00,No name match above threshold
Tsuyoshi Tamakairiki,Akira Shoji,2023-05-03 20:04:00,No name match above threshold
Kiyoshi Tamura,Nobuhiko Takada,2024-11-02 20:02:00,No name match above threshold
Evan Tanner,Robbie Lawler,2022-10-04 20:04:00,No name match above threshold
Aaron Tau,Rio Tirto,2022-05-02 20:25:00,No name match above threshold
James Te Huna,Glover Teixeira,2025-05-02 20:13:00,No name match above threshold
Cam Teague,Kevin Vallejos,2024-09-07 20:24:00,No name match above threshold
Glover Teixeira,James Te Huna,2025-05-02 20:13:00,No name match above threshold
John Teixeira,Hugo Viana,2023-06-02 20:12:00,No name match above threshold
James Terry,Magno Almeida,2023-09-19 20:11:00,No name match above threshold
James Terry,Caros Fodor,2024-06-16 20:11:00,No name match above threshold
Alexia Thainara,Rose Conceicao,2024-09-07 20:24:00,No name match above threshold
Stephen Thompson,Joaquin Buckley,2024-10-05 00:00:00,No name match above threshold
Stephen Thompson,Nah-Shon Burrell,2025-05-02 20:13:00,No name match above threshold
Josh Thomson,Rob McCullough,2023-11-03 20:02:00,No name match above threshold
Rio Tirto,Aaron Tau,2022-05-02 20:25:00,No name match above threshold
Hideo Tokoro,Antonio Banuelos,2024-09-17 20:11:00,No name match above threshold
Manuel Torres,Chris Duncan,2024-02-02 20:24:00,No name match above threshold
Frank Trigg,Renato Verissimo,2022-10-04 20:04:00,No name match above threshold
Frank Trigg,Dennis Hallman,2023-11-03 20:02:00,No name match above threshold
Francisco Trinaldo,Delson Heleno,2023-06-02 20:12:00,No name match above threshold
Abel Trujillo,Khabib Nurmagomedov,2025-05-02 20:13:00,No name match above threshold
Tagir Ulanbekov,Azat Maksum,2025-06-21 00:00:00,No name match above threshold
Caol Uno,Takeshi Inoue,2024-09-17 20:11:00,No name match above threshold
Nick Urso,Jordan Espinosa,2022-08-07 20:17:00,No name match above threshold
Kamaru Usman,Jorge Masvidal,2024-04-02 20:21:00,No name match above threshold
Mohammed Usman,Hamdy Abdelwahab,2025-06-21 00:00:00,No name match above threshold
Kevin Vallejos,Cam Teague,2024-09-07 20:24:00,No name match above threshold
Mike van Arsdale,Chris Haseman,2023-11-03 20:02:00,No name match above threshold
Kazula Vargas,Rongzhu,2024-04-02 20:21:00,No name match above threshold
Cain Velasquez,Antonio Silva,2025-05-02 20:13:00,No name match above threshold
Jerrel Venetiaan,Hirotaka Yokoi,2024-11-02 20:02:00,No name match above threshold
Isis Verbeek,Josefine Knutsson,2022-08-03 20:23:00,No name match above threshold
Renato Verissimo,Frank Trigg,2022-10-04 20:04:00,No name match above threshold
Hugo Viana,John Teixeira,2023-06-02 20:12:00,No name match above threshold
Milton Vieira,Felipe Arantes,2023-06-02 20:12:00,No name match above threshold
Milton Vieira,Hayato Sakurai,2022-05-07 20:05:00,No name match above threshold
Ketlen Vieira,Kayla Harrison,2024-10-05 00:00:00,No name match above threshold
Gian Villante,Fabio Maldonado,2023-03-02 20:14:00,No name match above threshold
Gian Villante,Lorenz Larkin,2024-06-16 20:11:00,No name match above threshold
Marcos Vinicius,Wagner Campos,2023-06-02 20:12:00,No name match above threshold
Bobby Voelker,Roger Bowling,2022-07-17 20:11:00,No name match above threshold
Bobby Voelker,Roger Bowling,2022-10-11 20:10:00,No name match above threshold
Bobby Voelker,Cory Devela,2023-07-09 20:10:00,No name match above threshold
Danylo Voievodkin,Bailey Schoenfelder,2024-09-07 20:24:00,No name match above threshold
Igor Vovchanchyn,Valentijn Overeem,2023-12-02 20:01:00,No name match above threshold
Chase Waldon,Geoff Neal,2025-07-03 20:17:00,No name match above threshold
Joshua Wang-Kim,Cameron Saaiman,2023-08-05 20:22:00,No name match above threshold
Ron Waterman,Valentijn Overeem,2023-12-03 20:02:00,No name match above threshold
Maka Watson,Ryan Couture,2023-09-19 20:11:00,No name match above threshold
Maka Watson,Bill Cooper,2022-07-17 20:11:00,No name match above threshold
Chris Weidman,Uriah Hall,2024-04-02 20:21:00,No name match above threshold
Fabricio Werdum,Mike Russow,2023-06-02 20:12:00,No name match above threshold
Fabricio Werdum,Kristof Midoux,2022-03-02 20:03:00,No name match above threshold
Robert Whittaker,Colton Smith,2025-05-02 20:13:00,No name match above threshold
Jordan Williams,Ramazan Kuramagomedov,2023-07-05 20:19:00,No name match above threshold
Matt Wiman,Cole Miller,2022-01-02 20:11:00,No odds in date range
Sean Woodson,Terrance McKinney,2023-07-05 20:19:00,No name match above threshold
Wu Yanan,Lauren Mueller,2024-11-02 20:18:00,No name match above threshold
Xie Bin,Zhu Kangjie,2023-05-04 20:25:00,No name match above threshold
Xie Bin,Masuto Kawana,2023-08-06 20:24:00,No name match above threshold
Eddie Yagin,Vitor Ribeiro,2023-11-03 20:02:00,No name match above threshold
Rani Yahya,Mike Brown,2022-01-02 20:11:00,No odds in date range
Kenichi Yamamoto,Kevin Randleman,2024-11-02 20:02:00,No name match above threshold
Yoshihisa Yamamoto,Mu Bae Choi,2023-05-03 20:04:00,No name match above threshold
Yoshihisa Yamamoto,Alexander Otsuka,2023-12-03 20:02:00,No name match above threshold
Yoshihisa Yamamoto,Jan Nortje,2023-12-02 20:01:00,No name match above threshold
Wataru Yamauchi,Namsrai Batbayar,2022-05-02 20:25:00,No name match above threshold
Yan Xiaonan,Syuri Kondo,2024-11-02 20:18:00,No name match above threshold
Yan Qihui,Danni McCormack,2023-08-06 20:24:00,No name match above threshold
Yin Shuai,Kai Yoshida,2022-05-02 20:25:00,No name match above threshold
Yizha,Koyomi Matsushima,2023-10-05 20:22:00,No name match above threshold
Hirotaka Yokoi,Jerrel Venetiaan,2024-11-02 20:02:00,No name match above threshold
ChangMin Yoon,Jin Aoi,2022-05-02 20:25:00,No name match above threshold
Hidehiko Yoshida,Don Frye,2024-11-02 20:02:00,No name match above threshold
Kai Yoshida,Yin Shuai,2022-05-02 20:25:00,No name match above threshold
SuYoung You,Daermisi Zhawupasi,2023-08-06 20:24:00,No name match above threshold
Sodiq Yusuff,Mike Davis,2024-07-06 20:18:00,No name match above threshold
Zach Zane,Justin Gonzales,2025-06-02 20:19:00,No name match above threshold
David Zawada,Li Jingliang,2024-11-02 20:18:00,No name match above threshold
Daniel Zellhuber,Francisco Prado,2024-02-02 20:24:00,No name match above threshold
Zhang Weili,Rose Namajunas,2024-04-02 20:21:00,No name match above threshold
Zhang Weili,Jessica Aguilar,2024-11-02 20:18:00,No name match above threshold
Zhang Qinghe,Lawrence Lui,2023-05-04 20:25:00,No name match above threshold
Daermisi Zhawupasi,SuYoung You,2023-08-06 20:24:00,No name match above threshold
Daria Zhelezniakova,Melissa Mullins,2025-06-21 00:00:00,No name match above threshold
Zhu Kangjie,Xie Bin,2023-05-04 20:25:00,No name match above threshold
Zhu Kangjie,Shin Haraguchi,2023-08-06 20:24:00,No name match above threshold
Fares Ziam,Claudio Puelles,2024-02-02 20:24:00,No name match above threshold
Virgil Zwicker,Lavar Johnson,2022-10-11 20:10:00,No name match above threshold
