fighter_url,Name,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Height_inches,Weight_lbs,Height (inches),Weight (lbs),Reach (in),Wins,Losses,Draws,Age,STANCE_:Open Stance,STANCE_:Orthodox,STANCE_:Sideways,STANCE_:Southpaw,STANCE_:Switch,STANCE_Unknown
http://ufcstats.com/fighter-details/207773daeb4afa7b,Devonte Smith,4.55,0.53,3.91,0.49,0.35,0.25,0.85,0.3,69.0,155.0,69.0,155.0,76.0,11,4,0,31.9,0,1,0,0,0,0
http://ufcstats.com/fighter-details/56709e66f1c6008f,Cole Smith,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7,71.0,135.0,71.0,135.0,67.0,7,2,0,36.2,0,1,0,0,0,0
http://ufcstats.com/fighter-details/0bbb69f69c9a2eea,Nate Smith,1.28,0.38,2.04,0.35,0.0,0.0,0.33,2.3,66.0,125.0,66.0,125.0,69.0,6,1,0,30.2,0,0,0,0,1,0
http://ufcstats.com/fighter-details/eaa9402e5a7990ad,Braxton Smith,6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0,71.0,257.0,71.0,257.0,72.0,5,2,0,35.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/7478b7f959ba61f5,Elijah Smith,3.83,0.41,3.87,0.47,4.0,0.53,0.66,1.0,69.0,135.0,69.0,135.0,71.0,8,1,0,22.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/85497ffd934ecf7e,Jacobe Smith,6.21,0.66,2.86,0.47,7.42,0.9,1.0,0.8,70.0,170.0,70.0,170.0,72.0,11,0,0,29.4,0,0,0,1,0,0
http://ufcstats.com/fighter-details/625b65b45c1c6888,Walter Smith-Cotito,2.95,0.36,3.53,0.68,2.16,0.33,0.57,0.0,68.0,135.0,68.0,135.0,,4,5,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/c5776fa8f4bf77aa,Justin Smitley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,145.0,,145.0,,10,7,1,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/75afb06215a07341,Dmitrii Smoliakov,1.44,0.42,3.81,0.55,0.0,0.0,0.75,0.0,74.0,253.0,74.0,253.0,74.0,9,3,0,42.9,0,0,0,0,1,0
http://ufcstats.com/fighter-details/d2bc285ead803db0,Louis Smolka,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,69.0,135.0,69.0,135.0,68.0,17,9,0,33.9,0,1,0,0,0,0
http://ufcstats.com/fighter-details/5c84f673b7bb7c15,Cameron Smotherman,4.07,0.37,3.52,0.58,0.0,0.0,0.62,0.0,69.0,135.0,69.0,135.0,69.0,12,6,0,27.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/1b0491ef0f9c965e,Shimon Smotritsky,3.52,0.34,8.67,0.56,3.52,0.33,0.5,0.0,74.0,170.0,74.0,170.0,74.0,8,2,0,24.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/f75c5ca0d91b9115,Richie Smullen,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0,69.0,155.0,69.0,155.0,68.0,3,1,1,33.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/7684c8137b4545ba,Devin Smyth,2.6,0.68,6.73,0.25,4.0,0.26,1.0,0.0,70.0,170.0,70.0,170.0,72.0,4,2,0,29.9,0,0,0,0,1,0
http://ufcstats.com/fighter-details/03b1e846b09f721d,Denis Sobolev,0.0,0.0,5.45,0.33,0.0,0.0,0.0,0.0,75.0,216.0,75.0,216.0,,4,7,0,,0,1,0,0,0,0
http://ufcstats.com/fighter-details/1fcfc3709fe58151,Peter Sobotta,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5,72.0,170.0,72.0,170.0,75.0,17,7,1,38.4,0,0,0,1,0,0
http://ufcstats.com/fighter-details/d468288756ae3982,Renato Sobral,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,73.0,205.0,73.0,205.0,75.0,37,11,0,49.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/d1152823307d7e7c,Rameau Thierry Sokoudjou,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,70.0,205.0,70.0,205.0,78.0,18,18,0,41.2,0,1,0,0,0,0
http://ufcstats.com/fighter-details/f1451d605bad178e,Alexander Soldatkin,1.16,0.6,1.35,0.26,1.45,0.5,0.5,0.0,74.0,250.0,74.0,250.0,75.0,14,4,0,32.0,0,1,0,0,0,0
http://ufcstats.com/fighter-details/af65aa688d13eedf,Joe Solecki,1.97,0.53,1.85,0.5,2.06,0.48,0.14,1.4,69.0,155.0,69.0,155.0,70.0,13,6,0,31.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/324c7a749128df8d,Chris Solomon,0.0,0.0,2.8,0.37,0.0,0.0,0.33,0.0,71.0,155.0,71.0,155.0,,0,0,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/83b743fedde154fb,Joe Son,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,236.0,64.0,236.0,,0,4,0,54.6,0,1,0,0,0,0
http://ufcstats.com/fighter-details/9775eabcb1be1a00,Paul Song,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,185.0,,185.0,,2,2,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/32490e80ddab1e5a,Song Kenan,4.49,0.46,5.82,0.51,0.42,0.3,0.73,0.0,72.0,170.0,72.0,170.0,71.0,22,9,0,35.3,0,1,0,0,0,0
http://ufcstats.com/fighter-details/efb96bf3e9ada36f,Song Yadong,4.58,0.43,4.0,0.55,0.61,0.38,0.73,0.1,68.0,135.0,68.0,135.0,67.0,22,8,1,27.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/0efb0d4ebb950fcb,YoungJae Song,3.33,0.58,2.33,0.55,0.0,0.0,0.45,0.0,67.0,145.0,67.0,145.0,70.0,6,1,1,29.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/c5dc1bf9b78f262c,Hyeonjong Song,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,135.0,,135.0,,8,1,0,23.2,0,0,0,0,0,1
http://ufcstats.com/fighter-details/fe759b24e344d7eb,Emrah Sonmez,1.47,0.46,1.73,0.48,5.0,0.21,0.0,0.0,70.0,145.0,70.0,145.0,71.0,14,5,0,33.0,0,1,0,0,0,0
http://ufcstats.com/fighter-details/48d1f690b763934c,Chael Sonnen,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,73.0,205.0,73.0,205.0,73.0,29,15,1,48.2,0,0,0,1,0,0
http://ufcstats.com/fighter-details/3324129f3745b300,Cody Sons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,205.0,69.0,205.0,,3,7,0,,0,0,0,0,0,1
http://ufcstats.com/fighter-details/7c9c6a884be167fe,Jin Soo Son,5.1,0.36,7.63,0.52,1.5,0.25,1.0,0.0,66.0,135.0,66.0,135.0,69.0,9,4,0,32.2,0,1,0,0,0,0
http://ufcstats.com/fighter-details/b6c37948cb226e8c,Benardo Sopaj,4.24,0.56,4.88,0.49,2.53,0.71,0.76,0.0,66.0,135.0,66.0,135.0,66.0,12,3,0,24.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/4c9b84d559822830,Emiliano Sordi,4.79,0.5,4.79,0.48,0.0,0.0,1.0,8.3,74.0,205.0,74.0,205.0,,16,7,0,34.3,0,1,0,0,0,0
http://ufcstats.com/fighter-details/bd5403efbaa445c0,Sean Soriano,3.18,0.61,2.14,0.56,1.33,0.55,0.52,0.0,69.0,145.0,69.0,145.0,70.0,14,8,0,35.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/64facb6cc564262d,Punahele Soriano,5.0,0.53,3.88,0.48,1.47,0.56,0.37,0.0,71.0,170.0,71.0,170.0,72.0,11,4,0,32.6,0,0,0,1,0,0
http://ufcstats.com/fighter-details/ec3bd30378d63dd1,Hecher Sosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,135.0,,135.0,,13,1,0,29.8,0,0,0,0,0,1
